device_name,source_ip,avg_bytes_sent,avg_bytes_received,avg_packets_transferred,avg_flow_duration,recent_tcp_flags,recent_protocol,avg_cpu_usage,avg_memory_usage,avg_disk_usage,avg_uptime
Device-281,192.168.1.25,43470,8420.5,91,723,ACK,TCP,26.77,76.14500000000001,64.545,358
Device-282,192.168.1.26,53581.5,6584,12,2686,ACK,TCP,42.99,65.16499999999999,45.16,304
Device-283,192.168.1.27,10527.5,7008,97,827,ACK,TCP,44.815,27.015,60.85,345
Device-284,192.168.1.28,23051,4688.5,81,772,ACK,TCP,31.970000000000002,37.864999999999995,46.815,387
Device-285,192.168.1.29,47448,4180,47,23,ACK,TCP,35.995,59.959999999999994,57.535,388
Device-259,192.168.1.3,46565,5885,67,116,ACK,TCP,28.310000000000002,53.620000000000005,50.42,184
Device-286,192.168.1.30,41016.5,7497.5,63,3404,ACK,TCP,49.105000000000004,44.78,52.855000000000004,246
Device-287,192.168.1.31,45304,6852.5,58,1231,ACK,TCP,24.049999999999997,61.885000000000005,38.865,403
Device-288,192.168.1.32,72992.5,4046,49,182,ACK,TCP,38.57,43.185,57.290000000000006,106
Device-289,192.168.1.33,39694,1875,87,1004,ACK,TCP,51.650000000000006,48.510000000000005,48.75,487
Device-290,192.168.1.34,28850,3984,68,3100,ACK,TCP,47.035,46.065,36.46,492
Device-291,192.168.1.35,61109.5,3956.5,38,3041,ACK,TCP,49.525,39.745000000000005,58.97,203
Device-292,192.168.1.36,52907.5,5782,64,679,ACK,TCP,34.28,51.035,37.6,152
Device-293,192.168.1.37,48339.5,4612.5,89,1894,ACK,TCP,27.785,67.35,40.235,291
Device-294,192.168.1.38,56322,6413,59,1028,ACK,TCP,41.185,39.975,36.760000000000005,488
Device-295,192.168.1.39,97303.5,9695.5,24,626,ACK,TCP,47.715,48.394999999999996,37.760000000000005,134
Device-260,192.168.1.4,46071,6541,53,2255,ACK,TCP,27.54,58.415,60.254999999999995,211
Device-296,192.168.1.40,73264.5,6653,38,2165,ACK,TCP,36.24,46.305,59.379999999999995,301
Device-297,192.168.1.41,19422.5,3397,69,3459,ACK,TCP,55.81,60.614999999999995,47.235,123
Device-261,192.168.1.5,97753,3357.5,66,500,ACK,TCP,39.445,45.175,42.379999999999995,169
Device-262,192.168.1.6,40961,7279.5,32,158,ACK,TCP,23.395,51.315,41.435,230
Device-263,192.168.1.7,82685,6027.5,39,104,ACK,TCP,18.95,62.11,45.875,302
Device-264,192.168.1.8,66234.5,5531.5,33,3812,ACK,TCP,21.775,66.35,47.510000000000005,294
Device-265,192.168.1.9,12932.5,4069,76,3469,ACK,TCP,14.1,30.855000000000004,46.769999999999996,169
