srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,Label
59.166.0.4,49428,3,47261,1,1,0.0902,3614,45696,31,29,7,24,0,315210.6563,3987494.5,60,62,255,255,73238309,93365430,60,737,0,0,82.993419,80.997725,1421929014,1421929015,1.522424,1.470344,0.000635,0.000505,0.00013,0,0,0,0,0,6,9,8,3,1,1,1,0
59.166.0.8,23129,6,6881,1,1,3.623006,13870,548216,31,29,21,197,0,30500.63867,1207759.5,242,438,255,255,80041251,125321493,57,1252,0,0,3704.015706,2762.21593,1421949108,1421949112,15.031897,8.288041,0.00127,0.001131,0.000139,0,0,0,0,0,9,5,2,3,2,1,1,0
175.45.176.3,22700,20,110,1,1,0.896544,960,17018,62,252,7,13,7,8137.916504,146794.8125,20,30,255,255,2033587767,1276599735,48,567,0,0,2303.77934,1834.306309,1421930421,1421930422,47.186526,30.165966,0.056926,0.020989,0.035937,0,1,0,0,0,1,1,1,2,1,1,1,1
59.166.0.5,41949,3,53,0,0,0.002367,146,178,31,29,0,0,1,246725.7969,300802.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421937534,1421937534,0.008,0.004,0.0,0.0,0.0,0,0,0,0,0,5,5,4,5,4,1,2,0
59.166.0.9,33217,5,80,1,1,8.128751,18890,1087890,31,29,2,370,0,18538.64258,1069224.125,354,746,255,255,1952185276,4126283750,53,1458,1,524288,1433.865393,949.445155,1421955600,1421955608,23.026703,10.910323,0.000728,0.000553,0.000175,0,0,1,0,0,9,9,4,3,1,1,1,0
59.166.0.1,23334,3,25,1,1,0.022674,37182,3380,31,29,18,8,0,12866543.0,1164329.25,52,42,255,255,2471515231,2472517572,715,80,0,0,23.892239,0.922493,1421932931,1421932931,0.4465,0.53939,0.000727,0.000555,0.000172,0,0,0,0,0,12,9,2,2,1,1,1,0
59.166.0.3,22867,1,24199,0,0,0.001857,520,304,31,29,0,0,0,1680129.25,982229.375,4,4,0,0,0,0,130,76,0,0,0.666566,0.337295,1421935483,1421935483,0.476333,0.244,0.0,0.0,0.0,0,0,0,0,0,13,8,4,5,1,1,3,0
59.166.0.0,61446,3,59924,1,1,0.006694,3880,2456,31,29,7,7,0,4380041.5,2772632.0,18,18,255,255,569726548,573331340,216,136,0,0,20.476489,0.513857,1421932623,1421932623,0.374412,0.358118,0.000741,0.000602,0.000139,0,0,0,0,0,14,7,5,5,1,1,3,0
59.166.0.0,8159,9,53,0,0,0.001073,146,178,31,29,0,0,1,544268.375,663560.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421944258,1421944258,0.016,0.006,0.0,0.0,0.0,0,0,0,0,0,4,2,2,4,3,1,1,0
59.166.0.5,13835,6,80,1,1,1.023025,1684,10168,31,29,3,5,3,12230.39453,75102.75781,14,18,255,255,2475503639,2476621071,120,565,1,3924,8766.512716,7676.905389,1421953504,1421953505,78.666154,60.142353,0.000721,0.0006,0.000121,0,0,1,0,0,1,1,3,3,1,1,1,0
59.166.0.6,19388,8,80,1,1,0.005146,1036,824,31,29,2,2,3,1410027.125,1153517.25,8,10,255,255,3504096660,3509284984,130,82,1,83,45.188829,0.749607,1421952650,1421952650,0.685429,0.498333,0.000802,0.000657,0.000145,0,0,1,0,0,1,1,3,1,1,1,1,0
59.166.0.2,60564,5,5190,1,1,0.139089,1958,2308,31,29,6,6,0,107499.5156,127227.8906,22,24,255,255,1147950171,3293635659,89,96,0,0,458.323365,437.790476,1421941540,1421941540,6.606714,6.021565,0.000731,0.000583,0.000148,0,0,0,0,0,6,3,1,3,1,1,1,0
59.166.0.2,31473,3,143,1,1,0.03194,7810,14946,31,29,30,32,0,1940137.875,3713964.0,122,126,255,255,126547175,127567264,64,119,0,0,16.395081,14.060586,1421931380,1421931380,0.2631,0.251368,0.000693,0.000513,0.00018,0,0,0,0,0,3,5,6,4,1,1,4,0
59.166.0.6,38649,4,5190,1,1,0.00633,1036,2262,31,29,4,4,0,1200632.0,2621169.25,12,12,255,255,793714178,794019050,86,189,0,0,33.583009,0.82395,1421944990,1421944990,0.540909,0.518455,0.00081,0.000616,0.000194,0,0,0,0,0,5,11,1,1,1,1,1,0
175.45.176.1,1043,14,53,0,3,1e-05,114,0,254,0,0,0,1,45600000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421933794,1421933794,0.01,0.0,0.0,0.0,0.0,0,2,0,0,0,11,11,3,3,3,3,3,1
59.166.0.4,1294,0,21,1,1,0.26459,2934,3742,31,29,11,15,5,87017.64844,111054.8438,52,54,255,255,1070483151,1071580524,56,69,0,0,905.537436,27.992285,1421944829,1421944829,5.181784,4.981981,0.000703,0.000541,0.000162,0,0,0,1,6,3,3,9,15,3,3,9,0
59.166.0.2,57705,3,20632,1,1,0.047947,3702,45354,31,29,7,24,0,607837.8125,7441383.0,62,60,255,255,2275923957,2276207760,60,756,0,0,48.04782,1.304743,1421948847,1421948847,0.781049,0.803576,0.000693,0.000525,0.000168,0,0,0,0,0,5,9,7,5,1,1,4,0
59.166.0.3,25574,6,53,0,0,0.00099,130,162,31,29,0,0,1,525252.5625,654545.5,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421950595,1421950595,0.011,0.006,0.0,0.0,0.0,0,0,0,0,0,2,3,3,1,1,1,1,0
59.166.0.2,32787,5,53,0,0,0.001027,146,178,31,29,0,0,1,568646.5625,693281.375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421940953,1421940953,0.008,0.008,0.0,0.0,0.0,0,0,0,0,0,4,3,1,1,1,1,1,0
59.166.0.3,53646,5,111,0,0,0.088413,568,312,31,29,0,0,0,38546.36719,21173.35742,4,4,0,0,0,0,142,78,0,0,34.425023,34.433273,1421950930,1421950930,24.350666,24.353,0.0,0.0,0.0,0,0,0,0,0,9,8,6,5,1,1,4,0
59.166.0.5,9154,6,45836,1,1,0.345334,4920,2976,31,29,7,7,0,109922.5703,66486.35938,28,28,255,255,424320637,427991364,176,106,0,0,793.795514,21.462783,1421949499,1421949499,12.777371,12.771963,0.000626,0.000485,0.000141,0,0,0,0,0,6,16,6,3,1,1,3,0
59.166.0.2,40961,3,143,1,1,0.033836,7806,16008,31,29,30,32,0,1830712.875,3754817.5,122,126,255,255,1580737873,1581754306,64,127,0,0,17.910604,15.090305,1421933394,1421933394,0.276612,0.266152,0.000697,0.000563,0.000134,0,0,0,0,0,15,16,7,4,1,1,2,0
59.166.0.1,9345,2,6881,1,1,0.018629,1540,1644,31,29,4,4,0,620108.4375,666917.1875,16,18,255,255,3697778509,3699503737,96,91,0,0,73.44797,2.047255,1421953631,1421953631,1.2168,1.067529,0.000605,0.000478,0.000127,0,0,0,0,0,10,13,5,5,3,1,3,0
59.166.0.1,1596,0,80,1,1,2.062851,1684,10168,31,29,3,5,3,6065.39209,37245.54297,14,18,255,255,112918506,135661897,120,565,1,3924,12296.02881,10759.73571,1421950833,1421950835,158.651005,121.303118,0.0009,0.000692,0.000208,0,0,1,0,0,4,1,1,5,2,1,1,0
59.166.0.8,50011,4,53,0,0,0.00108,130,162,31,29,0,0,1,481481.5,600000.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421944029,1421944029,0.011,0.009,0.0,0.0,0.0,0,0,0,0,0,3,8,1,5,1,1,1,0
59.166.0.8,1487,11,35525,1,1,0.04195,4550,68342,31,29,7,33,0,856638.875,12870179.0,78,80,255,255,248756068,2398639586,58,854,0,0,32.209954,32.061919,1421937884,1421937884,0.540299,0.523367,0.000754,0.000593,0.000161,0,0,0,0,0,8,8,7,4,1,1,1,0
59.166.0.9,8516,0,22,1,1,0.009828,3624,5578,31,29,7,7,4,2852258.75,4366300.0,30,26,255,255,4016313322,1867083707,121,215,0,0,19.98918,22.255038,1421938538,1421938538,0.338897,0.36112,0.0008,0.000664,0.000136,0,0,0,0,0,1,3,1,1,1,1,1,0
59.166.0.1,26064,1,111,0,0,0.004898,568,304,31,29,0,0,0,695794.1875,372396.9063,4,4,0,0,0,0,142,76,0,0,1.787095,1.5521,1421937034,1421937034,1.269667,1.107,0.0,0.0,0.0,0,0,0,0,0,3,6,3,3,1,1,3,0
59.166.0.9,5313,11,47827,0,0,0.001739,520,304,31,29,0,0,0,1794134.625,1048878.625,4,4,0,0,0,0,130,76,0,0,0.638282,0.298176,1421929406,1421929406,0.457333,0.216333,0.0,0.0,0.0,0,0,0,0,0,9,6,4,6,1,1,3,0
59.166.0.2,54947,4,61224,1,1,0.028035,2438,20826,31,29,7,13,0,677438.9375,5794471.0,38,40,255,255,1602446444,1625546996,64,521,0,0,47.952681,45.87382,1421946355,1421946355,0.748,0.704154,0.000705,0.000571,0.000134,0,0,0,0,0,4,10,6,4,1,1,2,0
59.166.0.4,55164,3,21,1,1,1.572788,2934,3740,31,29,11,15,5,14638.97266,18672.57422,52,54,255,255,1069802877,1072595132,56,69,0,0,2174.203275,77.921195,1421935924,1421935926,30.831922,29.66585,0.00063,0.000493,0.000137,0,0,0,1,1,1,1,5,1,1,1,1,0
59.166.0.8,59888,6,111,0,0,0.004864,568,304,31,29,0,0,0,700657.9375,375000.0313,4,4,0,0,0,0,142,76,0,0,1.792989,1.530415,1421944868,1421944868,1.275333,1.090667,0.0,0.0,0.0,0,0,0,0,0,22,20,13,18,2,2,8,0
59.166.0.0,27253,9,49146,1,1,1.567437,8928,320,31,29,4,1,2,42316.21094,1362.734131,14,6,255,255,2299553105,940146862,638,53,0,0,10128.05018,412.461844,1421941808,1421941809,120.572083,313.354406,0.000653,0.000486,0.000167,0,0,0,0,0,3,3,3,2,1,1,2,0
59.166.0.7,16505,5,34043,1,1,0.211872,2974,33118,31,29,7,18,0,109990.9375,1225494.625,48,50,255,255,2367175250,2463506613,62,662,0,0,0.0,257.249996,1421954416,1421954417,4.500766,4.31247,0.00071,0.000557,0.000153,0,0,0,0,0,4,4,2,2,1,1,1,0
149.171.126.5,25,21,29316,1,1,0.490854,2002,36514,29,31,4,15,0,31553.17188,580245.875,30,40,255,255,1255685273,1254157490,67,913,0,0,34.494879,1023.105889,1421939614,1421939615,16.926,12.570128,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,1,1,0
59.166.0.4,54412,8,111,0,0,0.004617,568,304,31,29,0,0,0,738141.625,395061.7188,4,4,0,0,0,0,142,76,0,0,1.650859,1.47644,1421945054,1421945054,1.170333,1.05,0.0,0.0,0.0,0,0,0,0,0,14,10,13,11,2,2,6,0
59.166.0.9,35693,8,21,1,1,0.023243,2934,3742,31,29,11,15,5,990577.75,1264208.5,52,54,255,255,1048817925,3199487833,56,69,0,0,31.866594,0.780801,1421955409,1421955409,0.449275,0.428887,0.000633,0.000504,0.000129,0,0,0,1,1,1,1,6,7,1,1,5,0
59.166.0.6,42018,6,48204,1,1,0.069765,4966,80850,31,29,7,36,0,562918.375,9163334.0,86,86,255,255,4117336475,4127278510,58,940,0,0,0.0,1.334361,1421950801,1421950801,0.817106,0.814612,0.000656,0.000519,0.000137,0,0,0,0,0,4,5,3,4,1,1,1,0
59.166.0.7,45564,3,111,0,0,0.004518,568,312,31,29,0,0,0,754316.0625,414342.625,4,4,0,0,0,0,142,78,0,0,1.704837,1.43967,1421943825,1421943825,1.212,1.024,0.0,0.0,0.0,0,0,0,0,0,6,15,8,5,1,1,4,0
59.166.0.9,10041,3,33678,0,0,0.001863,512,304,31,29,0,0,0,1648953.375,979066.0625,4,4,0,0,0,0,128,76,0,0,0.635925,0.358275,1421950781,1421950781,0.454667,0.259333,0.0,0.0,0.0,0,0,0,0,0,13,8,4,6,1,1,3,0
59.166.0.9,13843,11,6881,1,1,0.018279,1540,1644,31,29,4,4,0,631982.0625,679687.125,16,18,255,255,1072738534,1077707613,96,91,0,0,72.655715,2.05988,1421954078,1421954078,1.197667,1.048118,0.000574,0.000455,0.000119,0,0,0,0,0,14,11,7,11,6,1,6,0
59.166.0.9,47792,4,25,1,1,1.239862,37430,3380,31,29,18,8,0,236871.5313,21292.69336,52,42,255,255,3334176787,1236622097,720,80,0,0,1625.358079,50.228891,1421933143,1421933144,24.30302,30.227316,0.000681,0.000534,0.000147,0,0,0,0,0,9,8,1,4,1,1,1,0
59.166.0.3,23374,5,21,1,1,2.154065,2934,3742,31,29,11,15,5,10688.62891,13641.18652,52,54,255,255,1459311837,3626538011,56,69,0,0,3102.521731,106.833313,1421937460,1421937462,42.230332,40.632188,0.00069,0.000556,0.000134,0,0,0,0,0,1,2,4,1,1,1,1,0
59.166.0.0,18243,11,6881,1,1,13.073197,24848,1094788,31,29,38,390,0,15171.19336,669163.3125,442,858,255,255,3454288251,3456686407,56,1276,0,0,12466.27901,8970.22295,1421955603,1421955616,29.640427,15.271157,0.001201,0.001084,0.000117,0,0,0,0,0,12,12,1,3,1,1,1,0
59.166.0.1,40396,11,53,0,0,0.001042,146,178,31,29,0,0,1,560460.625,683301.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421942007,1421942007,0.012,0.006,0.0,0.0,0.0,0,0,0,0,0,3,2,5,4,2,1,1,0
59.166.0.3,6383,8,80,1,1,1.006136,1684,10168,31,29,3,5,3,12435.69531,76363.4375,14,18,255,255,4231140076,2082542523,120,565,1,3924,8764.091491,7674.671681,1421944519,1421944520,77.348769,59.153353,0.00066,0.000526,0.000134,0,0,1,0,0,2,3,2,1,1,1,1,0
59.166.0.9,6623,6,6754,1,1,0.113954,2334,16290,31,29,7,12,0,159362.5469,1113572.125,36,38,255,255,2762837307,613500148,65,429,0,0,245.158945,238.613268,1421935587,1421935587,3.246686,3.065703,0.000594,0.000521,7.3e-05,0,0,0,0,0,8,6,4,10,1,1,1,0
59.166.0.3,28843,1,28352,0,0,0.035132,528,304,31,29,0,0,0,90174.20313,51918.48047,4,4,0,0,0,0,132,76,0,0,9.899495,10.879545,1421934016,1421934016,7.009,7.699,0.0,0.0,0.0,0,0,0,0,0,4,7,2,3,1,1,2,0
59.166.0.9,9839,8,53,0,0,0.001133,146,178,31,29,0,0,1,515445.7188,628420.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421929734,1421929734,0.011,0.008,0.0,0.0,0.0,0,0,0,0,0,2,4,5,4,2,1,1,0
59.166.0.1,45963,9,18033,1,1,0.223424,424,8824,31,29,1,4,0,13284.15918,289637.625,8,12,255,255,1609079398,1623476976,53,735,0,0,2168.889592,1725.384426,1421945070,1421945070,31.869144,20.267636,0.000609,0.000477,0.000132,0,0,0,0,0,20,10,14,25,4,4,14,0
59.166.0.6,36005,0,34228,1,1,0.011879,2542,21294,31,29,7,14,0,1669500.875,13999158.0,40,42,255,255,207927959,2359014060,64,507,0,0,0.0,16.784293,1421953571,1421953572,0.296462,0.27778,0.000624,0.000486,0.000138,0,0,0,0,0,11,11,2,3,1,1,1,0
59.166.0.9,30768,1,80,1,1,1.009638,1684,10168,31,29,3,5,3,12392.56152,76098.5625,14,18,255,255,2765812226,621590669,120,565,1,3924,8766.134912,7675.171527,1421928400,1421928401,77.636613,59.355471,0.000727,0.00059,0.000137,0,0,1,0,0,3,3,4,1,1,1,1,0
59.166.0.4,40567,9,50057,0,0,0.001722,512,304,31,29,0,0,0,1783972.125,1059233.5,4,4,0,0,0,0,128,76,0,0,0.628854,0.282853,1421931246,1421931246,0.449667,0.205,0.0,0.0,0.0,0,0,0,0,0,11,11,4,8,1,1,3,0
59.166.0.9,36332,8,6881,1,1,0.013684,1540,1644,31,29,4,4,0,844197.625,907921.6875,16,18,255,255,2622274665,483133429,96,91,0,0,61.645376,1.428858,1421954438,1421954438,0.889733,0.777647,0.000586,0.000461,0.000125,0,0,0,0,0,6,10,8,13,6,1,7,0
59.166.0.4,34314,0,80,1,1,1.159732,18058,1087890,31,29,2,370,3,124201.1094,7494366.0,338,746,255,255,3732321141,3729178353,53,1458,1,524288,204.346687,121.852196,1421936569,1421936570,3.440368,1.555915,0.000722,0.000571,0.000151,0,0,1,0,0,2,2,5,2,1,1,1,0
59.166.0.4,29563,9,6881,1,1,0.014043,1540,1644,31,29,4,4,0,822616.25,884711.25,16,18,255,255,3177868730,3180146796,96,91,0,0,63.547445,1.47036,1421942706,1421942706,0.915333,0.796412,0.000624,0.000499,0.000125,0,0,0,0,0,10,14,8,6,2,1,3,0
59.166.0.1,3447,1,48126,1,1,0.004931,3832,2456,31,29,7,7,0,5873048.0,3763942.25,18,18,255,255,1109624779,1112930341,213,136,0,0,13.382293,0.33787,1421951755,1421951755,0.270824,0.256,0.000727,0.000574,0.000153,0,0,0,0,0,8,10,6,3,1,1,3,0
59.166.0.2,2311,8,53,0,0,0.001065,146,178,31,29,0,0,1,548356.8125,668544.625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421945894,1421945894,0.011,0.008,0.0,0.0,0.0,0,0,0,0,0,2,5,5,3,1,1,1,0
59.166.0.2,32619,3,29183,1,1,0.041727,4550,72372,31,29,7,33,0,861217.0,13702016.0,78,80,255,255,4030658738,4041226995,58,905,0,0,30.519012,30.349651,1421955357,1421955357,0.537688,0.521013,0.000739,0.000562,0.000177,0,0,0,0,0,8,3,1,3,1,1,1,0
59.166.0.6,26828,8,25,1,1,0.34283,37288,3380,31,29,18,8,0,853390.875,77006.09375,52,42,255,255,1832575697,1833582748,717,80,0,0,650.140284,21.623182,1421945288,1421945289,6.714863,8.348293,0.000654,0.000547,0.000107,0,0,0,0,0,13,18,18,6,6,6,6,0
59.166.0.9,31333,11,30008,1,1,0.402366,5016,3080,31,29,7,7,0,96171.14844,59209.77344,28,30,255,255,337966304,2585930306,179,103,0,0,849.051149,21.78635,1421944824,1421944825,14.890704,13.854689,0.000743,0.000576,0.000167,0,0,0,0,0,10,14,14,10,5,5,7,0
59.166.0.9,48780,3,3573,1,1,0.466452,4840,3080,31,29,7,7,0,80059.6875,51074.92188,28,30,255,255,4102589742,4140364520,173,103,0,0,949.475739,24.020506,1421951227,1421951227,17.262592,16.065896,0.000659,0.000536,0.000123,0,0,0,0,0,3,3,1,1,1,1,1,0
59.166.0.2,36133,8,53,0,0,0.001108,130,162,31,29,0,0,1,469314.0625,584837.5,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421938853,1421938853,0.011,0.009,0.0,0.0,0.0,0,0,0,0,0,5,2,2,2,1,1,1,0
59.166.0.4,28692,5,49012,1,1,0.080076,320,1878,31,29,1,2,2,26674.6582,164243.9688,6,8,255,255,3817728737,4219090395,53,235,0,0,1118.660691,27.221229,1421943596,1421943596,15.9438,11.372571,0.000595,0.000464,0.000131,0,0,0,0,0,3,1,1,3,1,1,1,0
59.166.0.6,39932,1,47037,0,0,0.001755,512,304,31,29,0,0,0,1750427.375,1039316.25,4,4,0,0,0,0,128,76,0,0,0.61589,0.309008,1421955482,1421955482,0.439,0.226,0.0,0.0,0.0,0,0,0,0,0,6,10,3,4,1,1,3,0
59.166.0.2,28968,11,53,0,0,0.00114,130,162,31,29,0,0,1,456140.375,568421.0625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421941273,1421941273,0.01,0.008,0.0,0.0,0.0,0,0,0,0,0,2,4,4,4,2,1,1,0
59.166.0.2,13349,4,53,0,0,0.001091,146,178,31,29,0,0,1,535288.6875,652612.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421942265,1421942265,0.01,0.008,0.0,0.0,0.0,0,0,0,0,0,1,5,2,1,1,1,1,0
59.166.0.4,26372,1,29701,1,1,0.279416,8928,320,31,29,4,1,2,237380.8281,7644.515625,14,6,255,255,2964513251,3296301955,638,53,0,0,1816.594215,74.502562,1421945803,1421945803,21.493539,55.764398,0.000568,0.000464,0.000104,0,0,0,0,0,3,4,3,5,1,1,2,0
59.166.0.5,41058,2,4882,1,1,0.004434,424,8824,31,29,1,4,2,669373.0625,14594498.0,8,12,255,255,1015129852,3168268063,53,735,0,0,35.652374,20.158216,1421936543,1421936543,0.587143,0.361273,0.00058,0.000456,0.000124,0,0,0,0,0,3,3,8,6,1,1,4,0
59.166.0.5,1598,5,80,1,1,0.004328,1048,824,31,29,2,2,3,1695009.25,1371534.25,8,10,255,255,2865266687,2873046077,131,82,1,83,32.276878,0.787058,1421929921,1421929921,0.566143,0.419778,0.000712,0.000546,0.000166,0,0,1,0,0,3,1,8,8,1,1,7,0
59.166.0.0,35026,4,7771,1,1,0.034008,3390,42634,31,29,7,22,0,783345.125,9856269.0,56,58,255,255,784771091,2934633010,61,735,0,0,37.21171,36.765853,1421948504,1421948504,0.6102,0.586772,0.000698,0.000552,0.000146,0,0,0,0,0,7,8,2,5,1,1,1,0
59.166.0.4,52847,6,53,0,0,0.001116,146,178,31,29,0,0,1,523297.5,637992.8125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421945139,1421945139,0.011,0.002,0.0,0.0,0.0,0,0,0,0,0,2,2,11,9,2,2,2,0
59.166.0.4,55162,1,143,1,1,2.055088,7816,15876,31,29,30,32,0,30176.80859,61311.24219,122,126,255,255,1588585741,3740257416,64,126,0,0,1072.797869,1057.944926,1421935112,1421935114,16.981149,16.436449,0.000651,0.000528,0.000123,0,0,0,0,0,11,6,2,1,1,1,1,0
59.166.0.9,29966,11,53,0,0,0.001061,130,162,31,29,0,0,1,490103.6563,610744.5625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421943008,1421943008,0.011,0.008,0.0,0.0,0.0,0,0,0,0,0,2,2,6,3,1,1,2,0
59.166.0.3,19312,9,60759,1,1,0.973957,8928,320,31,29,4,1,2,68101.57031,2193.115234,14,6,255,255,3935127028,871665723,638,53,0,0,6074.172272,241.995609,1421937008,1421937009,74.919768,194.653594,0.000697,0.000547,0.00015,0,0,0,0,0,4,5,4,5,1,1,2,0
59.166.0.5,42269,11,53,0,0,0.001006,130,162,31,29,0,0,1,516898.625,644135.1875,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421939688,1421939688,0.011,0.006,0.0,0.0,0.0,0,0,0,0,0,4,6,5,3,1,1,1,0
59.166.0.5,27787,6,32948,1,1,0.048893,8928,424,31,29,4,1,2,1356595.0,60703.98438,14,8,255,255,1872291693,33140138,638,53,0,0,402.896629,16.845898,1421928263,1421928263,3.761,6.881143,0.000646,0.000491,0.000155,0,0,0,0,0,6,3,5,3,1,1,3,0
59.166.0.3,25523,9,49912,1,1,0.04591,320,1864,31,29,1,2,2,46525.8125,284208.2188,6,8,255,255,1927339640,1938402213,53,233,0,0,635.977622,15.580999,1421952350,1421952350,9.1172,6.489714,0.000599,0.000476,0.000123,0,0,0,0,0,3,3,4,5,1,1,1,0
59.166.0.1,8765,3,143,1,1,0.778875,7814,15214,31,29,30,32,0,79601.99219,155033.8594,122,126,255,255,2684787735,540441640,64,121,0,0,437.135012,433.61546,1421934742,1421934743,6.43405,6.226688,0.00067,0.000534,0.000136,0,0,0,0,0,7,10,4,1,1,1,1,0
59.166.0.2,18393,9,80,1,1,1.149497,1684,10168,31,29,3,5,3,10884.76074,66839.67188,14,18,255,255,231391611,232422025,120,565,1,3924,8835.101294,7737.022743,1421953235,1421953236,88.391846,67.587176,0.000649,0.000508,0.000141,0,0,4,0,0,3,4,3,5,2,2,2,0
59.166.0.9,11517,8,53,0,0,0.001036,146,178,31,29,0,0,1,563706.5625,687258.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421953200,1421953200,0.005,0.008,0.0,0.0,0.0,0,0,0,0,0,1,3,3,1,1,1,1,0
59.166.0.8,10264,5,80,1,1,3.180795,19098,1069890,31,29,2,362,3,47899.97656,2687210.0,358,734,255,255,3401261538,1252670107,53,1458,1,524288,554.290973,356.446745,1421951658,1421951662,8.908893,4.338229,0.000987,0.000869,0.000118,0,0,1,0,0,1,2,1,1,1,1,1,0
59.166.0.0,2129,11,53,0,0,0.001039,146,178,31,29,0,0,1,562078.9375,685274.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421931827,1421931827,0.009,0.003,0.0,0.0,0.0,0,0,0,0,0,1,3,1,1,1,1,1,0
59.166.0.0,65326,4,28038,1,1,0.266446,424,8824,31,29,1,4,2,11139.21777,242870.9844,8,12,255,255,559402446,3316750777,53,735,0,0,2330.743631,1831.181094,1421942950,1421942950,38.00643,24.180454,0.00143,0.000457,0.000973,0,0,0,0,0,2,2,3,6,1,1,2,0
59.166.0.7,32076,4,30910,1,1,0.004917,4536,2456,31,29,7,7,0,6970104.0,3774659.5,18,18,255,255,3418585013,1276577698,252,136,0,0,13.402623,0.336621,1421936669,1421936669,0.270588,0.257706,0.00067,0.000532,0.000138,0,0,0,0,0,9,6,5,5,1,1,3,0
59.166.0.4,16053,11,111,0,0,0.004743,568,312,31,29,0,0,0,718532.5625,394686.9063,4,4,0,0,0,0,142,78,0,0,1.718272,1.516744,1421932864,1421932864,1.223,1.081,0.0,0.0,0.0,0,0,0,0,0,7,10,6,3,1,1,3,0
59.166.0.0,30571,9,28605,1,1,0.098053,3614,47774,31,29,7,24,0,289965.625,3834987.25,60,62,255,255,1668247929,3837352470,60,771,0,0,0.0,88.148896,1421931755,1421931755,1.656119,1.598705,0.000659,0.000528,0.000131,0,0,0,0,0,4,5,6,2,1,1,1,0
59.166.0.3,40742,5,5190,1,1,0.182263,1920,4312,31,29,6,6,0,80455.16406,181408.1875,22,24,255,255,1035183539,1035463045,87,180,0,0,513.36062,489.715971,1421954067,1421954067,8.662524,7.902348,0.000635,0.000501,0.000134,0,0,0,0,0,4,6,3,5,1,1,2,0
59.166.0.9,15441,3,111,0,0,0.005216,568,320,31,29,0,0,0,653374.1875,368098.1563,4,4,0,0,0,0,142,80,0,0,1.798175,1.698942,1421942518,1421942518,1.278,1.209333,0.0,0.0,0.0,0,0,0,0,0,11,6,5,8,1,1,4,0
59.166.0.5,18830,1,59917,0,0,0.099113,520,304,31,29,0,0,0,31479.2207,18403.23633,4,4,0,0,0,0,130,76,0,0,23.536756,40.516984,1421935706,1421935706,16.652,28.659334,0.0,0.0,0.0,0,0,0,0,0,5,9,6,2,1,1,2,0
59.166.0.8,14726,11,12819,1,1,0.048975,2542,22592,31,29,7,14,0,404941.3125,3602654.5,40,42,255,255,679129971,2885445055,64,538,0,0,73.526557,71.768425,1421951099,1421951099,1.247103,1.180585,0.000721,0.000567,0.000154,0,0,0,0,0,8,3,2,4,1,1,1,0
59.166.0.1,6221,8,80,1,1,1.151064,1684,10168,31,29,3,5,3,10869.94238,66748.67188,14,18,255,255,4047606206,4048644151,120,565,1,3924,9876.811961,8651.342973,1421946853,1421946854,88.517695,67.681529,0.000601,0.000474,0.000127,0,0,1,0,0,2,2,4,3,1,1,1,0
59.166.0.8,7657,1,6274,1,1,0.223285,424,8824,31,29,1,4,2,13292.42871,289817.9375,8,12,255,255,1963661500,4216449548,53,735,0,0,2049.707191,1623.036057,1421928563,1421928563,31.852857,20.247273,0.001427,0.000561,0.000866,0,0,0,0,0,5,3,3,3,1,1,2,0
59.166.0.0,6295,8,80,1,1,1.005964,1580,10168,31,29,3,5,3,11523.27441,76376.48438,12,18,255,255,3453456700,3458678944,132,565,1,3924,9529.979471,7674.531794,1421945395,1421945396,91.412906,59.131649,0.000847,0.000722,0.000125,0,0,6,0,0,1,1,5,2,2,2,2,0
